"","GSM8093099_E2477-1_PrimeView_.CEL","GSM8093100_E2477-2_PrimeView_.CEL","GSM8093101_E2477-3_PrimeView_.CEL","GSM8093102_E2478-1_PrimeView_.CEL","GSM8093103_E2478-2_PrimeView_.CEL","GSM8093104_E2478-3_PrimeView_.CEL"
"CLDN3",4.42104014526676,4.25940906217321,4.56540108224261,4.3305620123077,4.32414254888898,4.33454925657472
"TBX5",3.31497471034859,3.49965474444164,3.38846779122583,3.15219857908734,3.301937941304,3.15533371761401
"ST8SIA1",3.36162122173907,3.43273656627908,3.54078704910328,3.46462555909568,3.33557377459167,3.57561437355841
"TRPT1",3.99339001711606,3.8654815013814,4.24360168475649,3.34597205342349,3.52225703669366,3.57915881087514
"HECTD2",5.42809566806552,5.09830456025517,4.79402103763283,3.82293223143666,3.90767044636602,4.20694272031972
"CCL27",5.30031178378209,5.42390808812886,5.36655820573354,5.54678437136659,5.44979194878133,5.33977640171331
"KRT33A",7.46089145310127,7.58359825058862,7.29866201723201,7.28549433881341,7.61622591411982,7.37453275447934
"FXN",4.77944410517487,4.56623172657525,4.72974966631539,4.79855290875213,4.5493256602448,4.59146087024764
"SH2D2A",2.93478772017788,3.137012626214,3.28255458735879,3.49199118815891,3.40119092192623,3.45778922488125
"PRAMEF8",4.4226467510007,4.37276463954978,4.46764583270838,4.43605222211749,4.42554072571914,4.3766400376272
"SSX3",3.00273904310153,2.92820247906975,2.99278288171778,2.88922656696514,2.9971721026049,3.16676562462654
"NOP16",10.7026799237906,10.6387593877965,10.609561387889,11.1383325834366,11.1570249506768,11.2318114991044
"NT5C1A",4.14521540163317,4.17901555062576,4.26248414067978,4.16974895316608,4.59105566115146,4.61831973882195
"CEMP1",6.80477119697835,6.90266340982856,6.89024112785602,6.76728094472021,6.64399511009407,6.82175596825554
"PLCB3",7.2567705651145,7.39256722054979,7.32076630984659,6.16056797121133,6.33883813512992,6.31805390833845
"HOXA10",7.57328445116398,7.71121355880479,7.62312642078839,6.04319058740059,6.00845375673859,6.0970316484735
"AREG",6.39556316675729,6.54062278638914,6.43938117367676,10.0015638083534,10.0734577878329,9.94878397883855
"MLXIPL",6.94479025748354,6.62518632602859,6.87261803626884,6.97663805901433,6.79825850689288,6.766251787174
"MLXIPL",6.79947558961847,6.74205083529151,6.72738095802763,6.75925643698591,6.80781306517714,6.43298898255429
"MLXIPL",7.04554484278074,6.92176844350867,6.93271781903771,6.93400871568008,7.0228016625651,6.92631095577845
