"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DEPDC4",0.65067157483319,4.61812656939175,8.84935510779849,4.11647074135304e-05,0.000131147205535112,1.44371390951842
"RAB5C",0.294358116832989,9.34796175287413,8.84634021721442,4.12578736437875e-05,0.000131420188743541,1.44117187486439
"PSMC2",0.323826728470817,7.65231718840831,8.84615907429408,4.12634788994608e-05,0.000131420188743541,1.44101911929813
"BACE2",0.371857314208952,5.07092789206479,8.84588232047683,4.12720443817487e-05,0.000131426627455691,1.44078573119041
"PDCD6",0.455902381243406,8.01819738680848,8.84521352638798,4.12927517250738e-05,0.00013147172251845,1.44022170796336
"THAP6",-0.501891201057,5.60586163516746,-8.84497883081804,4.13000211971816e-05,0.00013147402531688,1.44002377047733
"OST4",0.348193922780265,11.5747379680368,8.84052529349781,4.1438239326559e-05,0.000131893121812141,1.4362669126593
"PIDD1",0.524364873593946,7.31259415799155,8.83888000050632,4.14894339202807e-05,0.000132035143535877,1.43487859622763
"ENOX1",0.568406237704584,3.83958176386354,8.83655013171666,4.15620517570156e-05,0.000132245286357399,1.43291225659605
"TTC23",-0.320648665101651,7.39006334555845,-8.82956039282296,4.17807713279075e-05,0.000132920166537256,1.42701051790069
"AFG3L2",-0.358725145155745,9.38546881801503,-8.82640658320475,4.18798837831415e-05,0.000133200984768207,1.42434633847513
"MREG",-0.34581549964178,7.7950017511986,-8.82632963602336,4.18823052584758e-05,0.000133200984768207,1.42428132740909
"PDCD5",0.388043091638671,8.84316827935754,8.82485691437818,4.19286812629065e-05,0.000133327364547849,1.42303696415089
"ZNF569",-0.645417719853308,5.31626646411217,-8.82093322544352,4.20525212968347e-05,0.00013369999014178,1.41972082831454
"AADAT",0.669670604368779,5.6064727998524,8.81995086145982,4.20835913708215e-05,0.000133777595614368,1.4188903824825
"METTL6",-0.383721003801199,7.78880018430546,-8.81928326939092,4.21047206627911e-05,0.000133823581229862,1.41832598630353
"ECHS1",0.341775911864765,10.6093981610722,8.81536127494849,4.22290937766106e-05,0.000134197645476178,1.41500952822821
"TMEM104",0.315715052672862,7.16138673945683,8.8098680742708,4.24039899676179e-05,0.000134732120631172,1.41036237283022
"ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC105369239",0.459804600906793,3.46687150907384,8.8083565286012,4.24522588417363e-05,0.000134864151625662,1.40908320505493
"DND1",-0.419632881864521,7.95977236148584,-8.80695521264055,4.24970630809958e-05,0.000134985135998532,1.40789715665868
"CCDC191",0.429415363270514,4.41713289394033,8.80575635391961,4.25354365081311e-05,0.000135085658891414,1.40688233901988
"SDCBP",-0.286118613485909,11.8581410262605,-8.8026437135179,4.26352494713603e-05,0.000135381241167241,1.40424699122913
"RAD54B",0.401612784801459,9.33079862977367,8.80160394481674,4.26686505674973e-05,0.000135465883338226,1.40336648701371
"CHAC2",-0.540052247732655,8.8706297330328,-8.79978602349851,4.27271196683487e-05,0.000135630072928578,1.40182681300653
"CCDC12",0.304421989788531,6.83360019516402,8.79797537874149,4.27854446022085e-05,0.000135793753064279,1.40029303726182
"RBPJ",0.430907183115452,7.10626608640686,8.79578211279313,4.28562149611021e-05,0.000135996874905795,1.39843479390103
"KIAA1429",-0.365908403346285,9.43266889469219,-8.79494605451611,4.28832269065821e-05,0.000136061094659051,1.39772634194211
"NUDT4 /// NUDT4P1 /// NUDT4P2",0.287866352512078,7.60931816651296,8.79260061442399,4.29591075806018e-05,0.000136280321694647,1.39573858209959
